날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2023-10-04",108,17.3,14.2,23.2
"	2023-10-05",108,14.2,9.9,19.2
"	2023-10-06",108,15.5,9.6,21.5
"	2023-10-07",108,16.8,11.7,21.2
"	2023-10-08",108,17.1,15.2,19.5
"	2023-10-09",108,17.4,14.1,22.4
"	2023-10-10",108,17.1,11.9,23.5
"	2023-10-11",108,17.6,12.9,24
"	2023-10-12",108,17.5,12,24.1
"	2023-10-13",108,17.5,14.3,21.5
"	2023-10-14",108,14.7,12.9,18.2
"	2023-10-15",108,16.1,10.9,21.2
"	2023-10-16",108,14.7,10.7,19.6
"	2023-10-17",108,13.8,7.5,20.9
"	2023-10-18",108,15.7,9.2,21.6
"	2023-10-19",108,17,14.9,18.9
"	2023-10-20",108,11.6,7.2,15.1
"	2023-10-21",108,10.4,5.9,16.6
"	2023-10-22",108,12.5,5.4,18.7
"	2023-10-23",108,15.2,11.1,21.4
"	2023-10-24",108,15.6,11.2,19.3
"	2023-10-25",108,16.6,12.7,21.9
"	2023-10-26",108,17.2,14.6,21.1
"	2023-10-27",108,15.7,12.6,20.2
"	2023-10-28",108,14.2,9.4,20.7
"	2023-10-29",108,14.9,9.8,21.8
"	2023-10-30",108,15.1,9.7,21.9
"	2023-10-31",108,16.5,12.7,20.8
"	2023-11-01",108,19,17.2,20.6
"	2023-11-02",108,20.8,18.7,25.9
"	",,,,
